"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Benin","BEN","Risk premium on lending (lending rate minus treasury bill rate, %)","FR.INR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Risk premium on lending (lending rate minus treasury bill rate, %)","FR.INR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Risk premium on lending (lending rate minus treasury bill rate, %)","FR.INR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.14083333333337","5.03","5.13083333333337","7.03375000000003","7.7191666666667","9.4441666666667","3.1716666666667","4.92263624999997","5.76459736111111","5.94857222222226","7.0202416666667","6.18854166666667","7.27807166666666","3.83615277777778","3.52770555555556","6.00644444447223","2.09060731634453",
"Bulgaria","BGR","Risk premium on lending (lending rate minus treasury bill rate, %)","FR.INR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2145","6.1396","6.804825","6.67","8.5860166666667","9.37672499999997","","8.6439375","7.04845833333334","7.07775","","","","","","","",
"Bahrain","BHR","Risk premium on lending (lending rate minus treasury bill rate, %)","FR.INR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","0.415","-0.668518024032039","","3.47216177125055","7.94326212728087","7.5109679572764","5.90393635959057","5.63518914107704","6.82868046283933","6.51331553182017","6.2708664886515","6.26985068980863","5.04373052959503","6.91081130396083","6.65570071206053","7.16270560747664","6.34765242545616","4.25435358255452","2.94023943035158","3.40217601246105","5.69366894748553","6.8862619047619","6.41645833333333","5.83545833333333","4.82745833333333","5.087875","5.08305833333333","","","","","","","","",
"Bahamas, The","BHS","Risk premium on lending (lending rate minus treasury bill rate, %)","FR.INR.RISK","","","","","","","","","","","","","","","","","4.18500000091667","4.5800000005","6.0141666675","6.05250000083333","3.46500000049997","2.11083333375","2.23833333358333","1.89166666708333","4.12500000075","4.4316666673333","5.78416666683333","6.60416666666667","4.53833333333333","3.7875","3.14833333333333","2.51","2.75916666666666","3.49833333333333","4.99666666666667","3.74083333333333","2.29666666666667","2.40166666666667","2.9075","4.40333333333333","4.9675","4.0575","3.505","4.22416666666667","5.445","5.40083333333334","4.63166666666667","2.83679166666667","2.76614166666667","2.8831","3.22253333333333","3.814175","4.51429166666667","4.45138333333333","4.21661666666667","4.07148333333333","3.10894166666667","2.42203333333333","2.5575","2.64456666666667","2.45436666666667","1.66646666666667","1.3875",
"Bosnia and Herzegovina","BIH","Risk premium on lending (lending rate minus treasury bill rate, %)","FR.INR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Risk premium on lending (lending rate minus treasury bill rate, %)","FR.INR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Risk premium on lending (lending rate minus treasury bill rate, %)","FR.INR.RISK","","","","","","","","","","","","","","","","","","","","","","","2.5950000005834","4.0841666674167","5.0441666666667","1.82833333425","3.886666667","5.34083333333337","5.23499999999997","6.4066666666667","6.6741666666667","7.53583333333337","8.9416666666667","9.77250000000003","10.5008333333333","11.5933333333334","12.5191666666667","12.7783333333334","12.6675","10.3625","10.095","9.5441666666667","10.2433333333334","11.125","10.7216666666667","11.035","10.9891666666667","11.1133333333333","10.9208333333333","10.8616666666667","10.8448","10.9389195833333","10.3555591666666","10.0767216666667","10.3511631837388","10.2109599268031","9.8054067763209","8.80625","7.91166666666667","7.835","7.46416666666667","7.17083333333333","7.60682484922412",
"Bermuda","BMU","Risk premium on lending (lending rate minus treasury bill rate, %)","FR.INR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Risk premium on lending (lending rate minus treasury bill rate, %)","FR.INR.RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.6816666666666","26.5041666666667","36.0325","36.3991666666667","27.08","21.3041666666667","23.6025","8.5815497595031","8.2268790172883","7.73863310306847","7.05850475052172","11.651278118334","7.3330231840521","6.82461079511259","5.56412963796034","9.49632238910303","9.83998317512029","10.4539160478928","10.6119158531007","9.95908627592388","7.71656747672604","7.4991649078189","7.73482606117997","7.76099203240817","","","","","",
